company;sector;horizon (days);amount;date_BUY_fix;date_SELL_fix;price_BUY;price_SELL;Volatility_Buy;Volatility_sell;Sharpe Ratio;expected_return (yearly);inflation;nominal_return;investment;ESG_ranking;PE_ratio;EPS_ratio;PS_ratio;PB_ratio;NetProfitMargin_ratio;current_ratio;roa_ratio;roe_ratio
BBY;RETAIL;2;100;25/5/2017;26/5/2017;5.555.180.358.886.710;5.348.391.342.163.080;0.3836655614452137;0.3857480375818041;0.3836655614452137;0.001437251773732825;1.96;-0.03722453698426349;BAD;12.0;12.58;3.73;0.38;3.19;3.01;1.49;8.69;26.69
BAC;BANK;330;15000;22/11/2016;18/10/2017;18.616.748.809.814.400;2.465.447.235.107.420;0.32280914735272975;0.23634998224143905;0.32280914735272975;0.17096908907429811;-0.2;0.32431675385106845;GOOD;26.3;11.39;1.26;1.71;0.54;15.7;0.92;0.67;5.54
AXP;BANK;7;3000;27/9/2016;4/10/2016;5.986.229.705.810.540;5.951.772.689.819.330;0.23864196442692837;0.23549052448517954;0.23864196442692837;0.0028236250867004903;-0.2;-0.00575604640726786;BAD;19.8;10.58;5.64;1.67;2.6;15.68;1.91;3.39;25.78
KSS;RETAIL;5;20000;11/10/2016;17/10/2016;3.821.672.439.575.190;35.985.328.674.316.400;0.4285594754654072;0.42933966287500996;0.4285594754654072;9,39E+10;-0.2;-0.05838793765599601;BAD;12.9;11.09;3.27;0.36;1.25;3.17;1.6;4.41;11.35
JPM;BANK;360;15000;12/3/2015;7/3/2016;5.186.933.517.456.050;5.204.796.600.341.790;0.19461178704107557;0.2540114659276608;0.19461178704107557;0.14997868082323138;-0.5;0.0034438619322237204;GOOD;27.9;9.38;5.46;1.87;0.81;19.91;0.99;0.81;8.91
PEP;FMCG;15;50000;9/9/2016;23/9/2016;917.709.732.055.664;9.467.268.371.582.030;0.13762116953266562;0.13828578957595375;0.13762116953266562;0.003263158681324147;-0.2;0.03161904476869928;GOOD;17.6;21.03;4.56;2.27;10.83;10.74;1.32;9.29;54.98
FB;TECH;720;1500;12/11/2014;1/11/2016;7.472.000.122.070.310;129.5;0.37220337074422005;0.27739226502687764;0.37220337074422005;0.5949739284519816;-0.15;0.733137016653563;GOOD;31.6;75.28;1.05;18.34;9.66;24.55;13.06;13.43;15.32
UBS;BANK;600;300;26/2/2016;18/10/2017;1.243.906.307.220.450;15.383.184.432.983.300;0.2650569031913007;0.2333852671095983;0.2650569031913007;-0.06492612335263084;-0.2;0.2366835302377013;GOOD;24.8;10.34;1.71;1.63;0.0;16.29;1.19;0.64;11.36
BAC;BANK;30;50000;16/7/2015;14/8/2015;16.170.324.325.561.500;15.945.107.460.021.900;0.21459217325588914;0.21516663380963272;0.21459217325588914;0.01554264446129983;-0.5;-0.013927789016793885;BAD;26.3;15.98;0.96;1.76;0.64;11.05;0.94;0.49;4.26
JPM;BANK;6;400;10/2/2016;16/2/2016;4.820.992.660.522.460;5.066.730.499.267.570;0.22793131973837044;0.2454221209105746;0.22793131973837044;0.0024996446803871894;-0.2;0.050972456514481825;GOOD;27.9;9.51;5.99;2.11;0.84;22.43;1.02;0.92;9.34
BBY;RETAIL;2;50;4/3/2016;7/3/2016;28.895.999.908.447.200;29.567.392.349.243.100;0.330433345720371;0.3312668943987754;0.330433345720371;0.001437251773732825;-0.2;0.023234788307139632;GOOD;12.0;9.3;2.58;0.21;1.77;2.27;1.43;6.41;19.38
DB;BANK;480;200;6/4/2015;29/7/2016;33.802.284.240.722.600;1.292.457.103.729.240;0.2591828440728792;0.4644779296968554;0.2591828440728792;-0.18533443043678577;-0.5;-0.6176420816637637;BAD;30.0;34.49;0.96;0.77;0.52;2.41;0.61;0.06;1.44
